key,description
h,move the cursor left
j,move the cursor down
k,move the cursor up
l,move the cursor right
b,move to the start of a word
B,move to the start of a token
w,move to the start of the next word
W,move to the start of the next token
e,move to the end of a word
E,move to the end of a token
0,jump to the beginning of the line
$,jump to the end of the line
^,jump to the first (non-blank) character of the line
#G / #gg / :#,move to a specified line number (replace # with the line number)
Ctrl + b,move back one full screen
Ctrl + f,move forward one full screen
Ctrl + d,move forward 1/2 a screen
Ctrl + u,move back 1/2 a screen
Ctrl + e,move screen down one line (without moving the cursor)
Ctrl + y,move screen up one line (without moving the cursor)
Ctrl + o,move backward through the jump history
Ctrl + i,move forward through the jump history
H,move to the top of the screen (H=high)
M,move to the middle of the screen (M=middle)
L,move to the bottom of the screen (L=low)
i,switch to insert mode before the cursor
I,insert text at the beginning of the line
a,switch to insert mode after the cursor
A,insert text at the end of the line
o,open a new line below the current one
O,open a new line above the current one
ea,insert text at the end of the word
Esc,exit insert mode; switch to command mode
r,replace a single character (and return to command mode)
cc,replace an entire line (deletes the line and moves into insert mode)
C / c$,replace from the cursor to the end of a line
cw,replace from the cursor to the end of a word
s,delete a character (and move into insert mode)
J,merge the line below to the current one with a space in between them
gJ,merge the line below to the current one with no space in between them
u,undo
Ctrl + r,redo
.,repeat last command
yy,copy (yank) entire line
#yy,copy the specified number of lines
dd,cut (delete) entire line
#dd,cut the specified number of lines
p,paste after the cursor
P,paste before the cursor
v,select text using character mode
V,select lines using line mode
Ctrl+v,select text using block mode
o,move from one end of the selected text to the other
aw,select a word
ab,select a block with ()
aB,select a block with {}
at,select a block with <>
ib,select inner block with ()
iB,select inner block with {}
it,select inner block with <>
y,yank (copy) the marked text
d,delete (cut) the marked text
p,paste the text after the cursor
u,change the market text to lowercase
U,change the market text to uppercase
*,jump to the next instance of the current word
#,jump to previous instance of the current word
/pattern,search forward for the specified pattern
?pattern,search backward for the specified pattern
n,repeat the search in the same direction
N,repeat the search in the opposite direction
m[a-z],mark text using character mode (from a to z)
M[a-z],mark lines using line mode (from a to z)
`a - jump to position marked a,
`y`a,yank text to position marked >a>
`.,jump to last change in file
`0,jump to position where Vim was last exited
``,jump to last jump
:marks,list all marks
:jumps,list all jumps
:changes,list all changes
Ctrl+i,move to next instance in jump list
Ctrl+o,move to previous instance in jump list
"g,",move to next instance in change list
g;,move to previous instance in change list
qa,record macro a
q,stop recording macro
@a,run macro a
@@,run last macro again
2h,move the cursor two characters left
3h,move the cursor three characters left
5h,move the cursor five characters left
h$h,move the cursor left to the beginning of the line
h0h,move the cursor left to the first character of the line
h^h,move the cursor left to the first non-blank character of the line
hfx,move the cursor left to the previous occurrence of character 'x' on the current line
hF x,move the cursor left to the previous occurrence of character 'x' on the current line
h3t x,move the cursor left to just before the third previous occurrence of character 'x' on the current line
h3T x,move the cursor left to just after the third previous occurrence of character 'x' on the current line
h3w,move the cursor left to the beginning of the third previous word
h3b,"move the cursor left to the beginning of the third previous word, including punctuation"
h3e,move the cursor left to the end of the third previous word
h3B,"move the cursor left to the beginning of the third previous WORD, including punctuation"
h3E,move the cursor left to the end of the third previous WORD
h3),move the cursor left to the beginning of the third previous sentence
h3(,move the cursor left to the beginning of the third previous sentence
h3{,move the cursor left to the beginning of the third previous paragraph
h3gg,move the cursor left to the beginning of the third previous line
h3G,move the cursor left to the beginning of the third previous line
h3H,move the cursor left to the beginning of the third previous line
h3M,move the cursor left to the beginning of the third previous line
h3L,move the cursor left to the beginning of the third previous line
2j,move the cursor down two lines
3j,move the cursor down three lines
5j,move the cursor down five lines
10j,move the cursor down ten lines
2k,move the cursor up two lines
3k,move the cursor up three lines
5k,move the cursor up five lines
10k,move the cursor up ten lines
gg,move the cursor to the beginning of the document
G,move the cursor to the end of the document
H,move the cursor to the top of the screen
M,move the cursor to the middle of the screen
L,move the cursor to the bottom of the screen
w,move the cursor to the beginning of the next word
e,move the cursor to the end of the current word
b,move the cursor to the beginning of the previous word
f<char>,move the cursor forward to the next occurrence of <char> on the current line
t<char>,move the cursor forward to just before the next occurrence of <char> on the current line
d3j,delete the next three lines
y2j,yank (copy) the next two lines
c5j,change (delete and start insert) the next five lines
k2j,move the cursor up two lines
k3w,move the cursor up three words
k$,move the cursor up to the end of the line
k0,move the cursor up to the beginning of the line
k^,move the cursor up to the first non-blank character of the line
kG,move the cursor up to the beginning of the file
kgg,move the cursor up to the beginning of the file
kCtrl+u,move the cursor up half a screen
kCtrl+b,move the cursor up one full screen
kCtrl+d,move the cursor down half a screen
kCtrl+f,move the cursor down one full screen
kM,move the cursor to the middle of the screen
kH,move the cursor to the top of the screen
kL,move the cursor to the bottom of the screen
kCtrl+o,move the cursor to the previous cursor position
kCtrl+i,move the cursor to the next cursor position
kCtrl+g,display the current line number and file status information
kCtrl+e,scroll the screen down one line without moving the cursor
kCtrl+y,scroll the screen up one line without moving the cursor
kCtrl+f,scroll the screen down one full screen
kCtrl+b,scroll the screen up one full screen
kCtrl+d,scroll the screen down half a screen
kCtrl+u,scroll the screen up half a screen
ll,move the cursor two characters right
3l,move the cursor three characters right
W,move the cursor to the beginning of the next WORD
